| | BGE Score | Sum of top 7 |educated|addicted|armed|athletic|fighter|disguised|musical|animal|artistic|drunk|
|mythic-teddy_lvl_1| 4.36 | 4.36 |0.71|0.62|0.81|0.25|0.65|0.53|0.56|0.48|0.00|0.34|
|eugene-belcher| 4.34 | 4.34 |0.57|0.50|0.55|0.69|0.00|0.44|0.78|0.58|0.56|0.61|
|linda-belcher_lvl_18| 4.32 | 4.32 |0.53|0.00|0.79|0.68|0.44|0.25|0.43|0.73|0.56|0.59|
|dr-amy-wong| 4.27 | 4.27 |0.53|0.65|0.63|0.90|0.11|0.52|0.00|0.48|0.12|0.56|
|bobby| 4.26 | 4.26 |0.68|0.70|0.54|0.49|0.63|0.60|0.38|0.43|0.20|0.62|
|peggy| 4.23 | 4.23 |0.38|0.74|0.60|0.53|0.55|0.50|0.68|0.45|0.59|0.54|
|chris-griffin_lvl_18| 4.17 | 4.17 |0.80|0.43|0.75|0.63|0.47|0.37|0.19|0.00|0.72|0.15|
|lois-griffin_lvl_18| 4.13 | 4.13 |0.09|0.68|0.08|0.49|0.72|0.67|0.00|0.68|0.00|0.80|
|mythic-bullock_lvl_1| 4.12 | 4.12 |0.58|0.54|0.54|0.55|0.51|0.65|0.44|0.00|0.10|0.75|
|tina| 4.10 | 4.10 |0.58|0.12|0.61|0.62|0.57|0.53|0.58|0.36|0.54|0.60|
|peter| 4.05 | 4.05 |0.56|0.34|0.59|0.55|0.67|0.34|0.41|0.44|0.71|0.53|
|bob| 4.04 | 4.04 |0.60|0.60|0.40|0.59|0.56|0.62|0.55|0.39|0.51|0.52|
|klaus-heisler| 3.98 | 3.98 |0.64|0.46|0.57|0.55|0.69|0.49|0.19|0.47|0.09|0.57|
|bender| 3.97 | 3.97 |0.69|0.48|0.72|0.40|0.45|0.35|0.48|0.43|0.56|0.59|
|linda-belcher| 3.94 | 3.94 |0.49|0.00|0.72|0.62|0.40|0.23|0.39|0.66|0.51|0.54|
|mythic-brian_lvl_1| 3.94 | 3.94 |0.61|0.00|0.47|0.34|0.17|0.62|0.50|0.69|0.71|0.28|
|chris-griffin| 3.92 | 3.92 |0.76|0.41|0.70|0.59|0.44|0.35|0.17|0.00|0.67|0.14|
|mythic-dale_lvl_1| 3.91 | 3.91 |0.77|0.37|0.55|0.36|0.57|0.42|0.62|0.61|0.00|0.00|
|steve-smith| 3.90 | 3.90 |0.51|0.52|0.72|0.27|0.60|0.61|0.50|0.44|0.13|0.15|
|roger| 3.90 | 3.90 |0.73|0.39|0.51|0.44|0.50|0.43|0.34|0.47|0.72|0.53|
|stewie| 3.85 | 3.85 |0.48|0.55|0.51|0.45|0.66|0.47|0.59|0.43|0.39|0.59|
|stan| 3.82 | 3.82 |0.53|0.59|0.52|0.44|0.49|0.30|0.54|0.43|0.54|0.61|
|bill| 3.68 | 3.68 |0.65|0.00|0.36|0.52|0.49|0.44|0.62|0.44|0.14|0.52|
|lois-griffin| 3.67 | 3.67 |0.08|0.60|0.07|0.43|0.64|0.60|0.00|0.61|0.00|0.71|
|quagmire| 3.59 | 3.59 |0.45|0.54|0.46|0.34|0.49|0.33|0.54|0.61|0.18|0.50|
|leela| 3.59 | 3.59 |0.38|0.50|0.44|0.47|0.53|0.46|0.49|0.45|0.53|0.61|
|amy| 3.56 | 3.56 |0.41|0.63|0.49|0.70|0.12|0.43|0.00|0.41|0.26|0.49|
|boomhauer| 3.55 | 3.55 |0.53|0.51|0.46|0.47|0.00|0.45|0.14|0.60|0.21|0.53|
|louise| 3.49 | 3.49 |0.54|0.36|0.44|0.47|0.52|0.34|0.42|0.48|0.49|0.55|
|hank| 3.47 | 3.47 |0.50|0.59|0.45|0.39|0.34|0.39|0.51|0.40|0.48|0.54|
|francine-smith_lvl_18| 3.38 | 3.38 |0.82|0.34|0.32|0.29|0.00|0.60|0.42|0.00|0.59|0.27|
|fry| 3.30 | 3.30 |0.43|0.25|0.39|0.52|0.43|0.45|0.55|0.38|0.40|0.52|
|hayley| 3.28 | 3.28 |0.45|0.32|0.44|0.41|0.58|0.34|0.23|0.45|0.34|0.61|
|klaus| 3.27 | 3.27 |0.51|0.45|0.45|0.44|0.55|0.38|0.19|0.41|0.20|0.46|
|gene| 3.25 | 3.25 |0.40|0.44|0.39|0.47|0.00|0.33|0.57|0.44|0.45|0.48|
|brian| 3.21 | 3.21 |0.46|0.00|0.34|0.36|0.15|0.45|0.43|0.56|0.60|0.35|
|meg| 3.20 | 3.20 |0.41|0.41|0.31|0.34|0.40|0.37|0.51|0.47|0.46|0.54|
|teddy| 3.20 | 3.20 |0.50|0.54|0.55|0.24|0.46|0.37|0.42|0.36|0.00|0.34|
|dr-zoidberg| 3.18 | 3.18 |0.50|0.51|0.39|0.43|0.46|0.37|0.42|0.47|0.33|0.35|
|professor-farnsworth| 3.02 | 3.02 |0.43|0.39|0.44|0.50|0.52|0.27|0.00|0.47|0.17|0.21|
|francine-smith| 2.99 | 2.99 |0.72|0.30|0.29|0.25|0.00|0.53|0.37|0.00|0.53|0.24|
|linda| 2.97 | 2.97 |0.35|0.00|0.51|0.43|0.30|0.17|0.31|0.50|0.43|0.44|
|lois| 2.80 | 2.80 |0.09|0.51|0.15|0.32|0.46|0.40|0.00|0.45|0.00|0.51|
|francine| 2.78 | 2.78 |0.59|0.32|0.25|0.23|0.00|0.44|0.35|0.00|0.49|0.34|
|bullock| 2.68 | 2.68 |0.37|0.42|0.35|0.33|0.33|0.40|0.31|0.00|0.16|0.48|
|chris| 2.58 | 2.58 |0.49|0.34|0.43|0.39|0.27|0.23|0.16|0.00|0.43|0.11|
|dale| 2.53 | 2.53 |0.45|0.29|0.34|0.25|0.35|0.28|0.42|0.40|0.00|0.00|
|steve-smith_lvl_18| 1.92 | 1.92 |0.31|0.24|0.28|0.19|0.29|0.26|0.30|0.24|0.09|0.12|
|hermes-conrad_lvl_18| 1.17 | 1.17 |0.00|0.00|0.16|0.07|0.00|0.60|0.14|0.00|0.00|0.20|
|hermes| 1.04 | 1.04 |0.00|0.00|0.18|0.10|0.00|0.38|0.14|0.00|0.00|0.24|
|hermes-conrad| 1.03 | 1.03 |0.00|0.00|0.14|0.06|0.00|0.53|0.12|0.00|0.00|0.18|
|mort| 0.72 | 0.72 |0.00|0.00|0.30|0.00|0.00|0.16|0.26|0.00|0.00|0.00|
|stevs| 0.00 | 0.00 |0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
|luanns| 0.00 | 0.00 |0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
|
